L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG26931	Hypothetical protein		
Function unknown	VOG26932	Hypothetical protein		
Function unknown	VOG26933	Hypothetical protein		
Function unknown	VOG26934	Hypothetical protein		
Function unknown	VOG26935	Hypothetical protein		
Function unknown	VOG26936	Hypothetical protein		
Virus structure	VOG26937	Neck protein gp14		NECK2_BPT4
Function unknown	VOG26938	Hypothetical protein		
Function unknown	VOG26939	Tail fiber protein		
Function unknown	VOG26940	Tail protein		
Function unknown	VOG26941	Hypothetical protein		
Function unknown	VOG26942	Hypothetical protein		
Function unknown	VOG26943	Hypothetical protein		
Function unknown	VOG26944	Hypothetical protein		
Function unknown	VOG26945	Hypothetical protein		
Function unknown	VOG26946	Hypothetical protein		
Function unknown	VOG26947	Tail assembly chaperone		
Function unknown	VOG26948	Gp098		
Function unknown	VOG26949	Hypothetical protein		
Function unknown	VOG26950	Galactose-binding domain-like protein		
Function unknown	VOG26951	Helicase subunit of the DNA excision repair complex		
Function unknown	VOG26952	Hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG26953	Cytoplasmic envelopment protein 3		CEP3_GAHVM
Function unknown	VOG26954	Hypothetical protein		
Function unknown	VOG26955	Hypothetical protein		
Function unknown	VOG26956	Hypothetical protein		
Function unknown	VOG26957	Hypothetical protein		
Function unknown	VOG26958	Hypothetical protein		
Function unknown	VOG26959	Hypothetical protein		
Function unknown	VOG26960	Nucleoprotein		
Function unknown	VOG26961	Hypothetical protein		
Function unknown	VOG26962	Hypothetical protein		
Function unknown	VOG26963	Hypothetical protein		
Function unknown	VOG26964	Hypothetical protein		
Function unknown	VOG26965	Endonuclease III		
Function unknown	VOG26966	Hypothetical protein		
Function unknown	VOG26967	Membrane protein		
Function unknown	VOG26968	Hypothetical protein		
Virus protein with function beneficial for the host	VOG26969	Protein A2-A3		A2_BPBF2
Function unknown	VOG26970	Hypothetical protein		
Function unknown	VOG26971	Hypothetical protein		
Function unknown	VOG26972	Hypothetical protein		
Function unknown	VOG26973	Hypothetical protein		
Function unknown	VOG26974	Gp55		
Function unknown	VOG26975	Hypothetical protein		
Function unknown	VOG26976	Hypothetical protein		
Function unknown	VOG26977	Hypothetical protein		
Function unknown	VOG26978	TMhelix containing protein		
Function unknown	VOG26979	Hypothetical protein		
Function unknown	VOG26980	Hypothetical protein		
Function unknown	VOG26981	Hypothetical protein		
Function unknown	VOG26982	Hypothetical protein		
Function unknown	VOG26983	Uncharacterized protein ORF76		Y076_OSHVF
Function unknown	VOG26984	Hypothetical protein		
Function unknown	VOG26985	Hypothetical protein		
Function unknown	VOG26986	Hypothetical protein		
Function unknown	VOG26987	Hypothetical protein		
Function unknown	VOG26988	Hypothetical protein		
Function unknown	VOG26989	Hypothetical protein		
Function unknown	VOG26990	Hypothetical protein		
Function unknown	VOG26991	Hypothetical protein		
Function unknown	VOG26992	Hypothetical protein		
Function unknown	VOG26993	Unknown similar to AMEV145		
Function unknown	VOG26994	Hypothetical protein		
Function unknown	VOG26995	Hypothetical protein		
Function unknown	VOG26996	Hypothetical protein		
Function unknown	VOG26997	Hypothetical protein		
Function unknown	VOG26998	Hypothetical protein		
Function unknown	VOG26999	Hypothetical protein		
Function unknown	VOG27000	Hypothetical protein		
Function unknown	VOG27001	Hypothetical protein		
Function unknown	VOG27002	Hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG27003	Polymerase cofactor VP35		VP35_EBOZM
Function unknown	VOG27004	Hypothetical protein		
Function unknown	VOG27005	Hypothetical protein		
Function unknown	VOG27006	Hypothetical protein		
Function unknown	VOG27007	Hypothetical protein		
Virus structure	VOG27008	Protein P7		P7_WTV
Function unknown	VOG27009	Hypothetical protein		
Function unknown	VOG27010	Hypothetical protein		
Function unknown	VOG27011	Hypothetical protein		
Function unknown	VOG27012	Hypothetical protein 1		
Function unknown	VOG27013	Hypothetical protein		
Function unknown	VOG27014	Hypothetical protein		
Function unknown	VOG27015	Hypothetical protein		
Function unknown	VOG27016	Hypothetical protein		
Function unknown	VOG27017	Hypothetical protein		
Function unknown	VOG27018	Hypothetical protein		
Function unknown	VOG27019	Putative gene regulator		
Function unknown	VOG27020	Hypothetical protein		
Function unknown	VOG27021	Hypothetical protein		
Function unknown	VOG27022	Hypothetical protein		
Function unknown	VOG27023	Hypothetical protein		
Function unknown	VOG27024	Hypothetical protein		
Function unknown	VOG27025	Hypothetical protein		
Function unknown	VOG27026	Hypothetical protein		
Function unknown	VOG27027	Hypothetical protein		
Function unknown	VOG27028	Hypothetical protein		
Function unknown	VOG27029	Membrane protein		
Function unknown	VOG27030	DNA repair protein		
Function unknown	VOG27031	EsV-1-98		
Function unknown	VOG27032	Hypothetical protein		
Virus replication	VOG27033	Transposase for insertion sequence element IS256 in transposon Tn4001		TRA6_STAAU
Function unknown	VOG27034	Gp70		
Function unknown	VOG27035	Hypothetical protein		
Function unknown	VOG27036	Hypothetical protein		
Function unknown	VOG27037	Hypothetical protein		
Function unknown	VOG27038	Hypothetical protein		
Function unknown	VOG27039	Hypothetical protein		
Function unknown	VOG27040	Hypothetical protein		
Function unknown	VOG27041	Hypothetical protein		
Function unknown	VOG27042	TMhelix containing protein		
Function unknown	VOG27043	Hypothetical protein		
Function unknown	VOG27044	Vpf81		
Function unknown	VOG27045	Hypothetical protein		
Function unknown	VOG27046	Hypothetical protein		
Function unknown	VOG27047	Hypothetical protein		
Function unknown	VOG27048	049R		
Function unknown	VOG27049	Hypothetical protein		
Function unknown	VOG27050	Protein ORF121		
Function unknown	VOG27051	Minor tail protein		
Function unknown	VOG27052	Hypothetical protein		
Function unknown	VOG27053	Hypothetical protein		
Function unknown	VOG27054	Hypothetical protein		
Function unknown	VOG27055	Hypothetical protein		
Function unknown	VOG27056	Hypothetical protein		
Function unknown	VOG27057	Hypothetical protein		
Function unknown	VOG27058	Putative recombination		
Function unknown	VOG27059	Hypothetical protein		
Function unknown	VOG27060	Hypothetical protein		
Function unknown	VOG27061	Hypothetical protein		
Function unknown	VOG27062	Hypothetical protein		
Function unknown	VOG27063	Hypothetical protein		
Function unknown	VOG27064	Hypothetical protein		
Virus protein with function beneficial for the host	VOG27065	Cytokine-inducible SH2-containing protein (Fragment)		CISH_RAT
Function unknown	VOG27066	Hypothetical protein		
Function unknown	VOG27067	Hypothetical protein		
Function unknown	VOG27068	Hypothetical protein		
Function unknown	VOG27069	Hypothetical protein		
Function unknown	VOG27070	Hypothetical protein		
Function unknown	VOG27071	Hypothetical protein		
Function unknown	VOG27072	Hypothetical protein		
Function unknown	VOG27073	Uncharacterized protein sORF3/4		ORF3_PSHV1
Function unknown	VOG27074	Thymidylate synthase complementing protein		
Virus protein with function beneficial for the host | Virus structure	VOG27075	Internal scaffolding protein B		SCAFB_BPG4
Function unknown	VOG27076	Hypothetical protein		
Function unknown	VOG27077	Hypothetical protein		
Function unknown	VOG27078	Hypothetical protein		
Function unknown	VOG27079	Hypothetical protein		
Function unknown	VOG27080	Hypothetical protein		
Function unknown	VOG27081	Hypothetical protein		
Virus protein with function beneficial for the virus | Virus structure	VOG27082	Envelope glycoprotein L		GL_EBVG
Function unknown	VOG27083	Hypothetical protein		
Function unknown	VOG27084	Uncharacterized protein 72		Y072_SIFVH
Function unknown	VOG27085	Gp30		
Function unknown	VOG27086	Hypothetical protein		
Function unknown	VOG27087	Hypothetical protein		
Function unknown	VOG27088	Hypothetical protein		
Function unknown	VOG27089	Hypothetical protein		
Function unknown	VOG27090	Hypothetical protein		
Function unknown	VOG27091	Hypothetical protein		
Function unknown	VOG27092	E4 ORF2		
Function unknown	VOG27093	Hypothetical protein		
Function unknown	VOG27094	Hypothetical protein		
Function unknown	VOG27095	Hypothetical protein		
Function unknown	VOG27096	Hypothetical protein		
Function unknown	VOG27097	Hypothetical protein		
Function unknown	VOG27098	Hypothetical protein		
Function unknown	VOG27099	Hypothetical protein		
Function unknown	VOG27100	Putative orfan		
Function unknown	VOG27101	Hypothetical protein		
Function unknown	VOG27102	Uncharacterized protein ORF30		VG30_ICHVA
Function unknown	VOG27103	Hypothetical protein		
Function unknown	VOG27104	Hypothetical protein		
Function unknown	VOG27105	Hypothetical protein		
Function unknown	VOG27106	Membrane protein		
Function unknown	VOG27107	Hypothetical protein		
Function unknown	VOG27108	Hypothetical protein		
Function unknown	VOG27109	Hypothetical protein		
Function unknown	VOG27110	Hypothetical protein		
Function unknown	VOG27111	Hypothetical protein		
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG27112	Probable tail assembly protein FS-gp41		TAPFS_BPMU
Function unknown	VOG27113	Hypothetical protein		
Function unknown	VOG27114	Hypothetical protein		
Function unknown	VOG27115	Hypothetical protein		
Function unknown	VOG27116	Hypothetical protein		
Function unknown	VOG27117	Hypothetical protein		
Function unknown	VOG27118	Hypothetical protein		
Function unknown	VOG27119	Putative E4 early protein		
Function unknown	VOG27120	Hypothetical protein		
Function unknown	VOG27121	Hypothetical protein		
Function unknown	VOG27122	Hypothetical protein		
Function unknown	VOG27123	Hypothetical protein		
Function unknown	VOG27124	Hypothetical protein		
Function unknown	VOG27125	Hypothetical protein		
Function unknown	VOG27126	Hypothetical protein		
Function unknown	VOG27127	Hypothetical protein		
Function unknown	VOG27128	Hypothetical protein		
Function unknown	VOG27129	Hypothetical protein		
Function unknown	VOG27130	Hypothetical protein		
Function unknown	VOG27131	Uncharacterized protein 105		Y105_SIRV1
Function unknown	VOG27132	Hypothetical protein		
Function unknown	VOG27133	Cy165		
Function unknown	VOG27134	Virion structural protein		
Function unknown	VOG27135	Hypothetical protein		
Function unknown	VOG27136	Hypothetical protein		
Function unknown	VOG27137	Hypothetical protein		
Function unknown	VOG27138	Hypothetical protein		
Virus protein with function beneficial for the host	VOG27139	Putative ubiquitin thioesterase 232R		VF232_IIV6
Function unknown	VOG27140	Hypothetical protein		
Function unknown	VOG27141	Putative orfan		
Function unknown	VOG27142	Head-tail adaptor		
Function unknown	VOG27143	Hypothetical protein		
Function unknown	VOG27144	Hypothetical protein		
Function unknown	VOG27145	Hypothetical protein		
Function unknown	VOG27146	Hypothetical protein		
Function unknown	VOG27147	Hypothetical protein		
Function unknown	VOG27148	Hypothetical protein		
Function unknown	VOG27149	Hypothetical protein		
Function unknown	VOG27150	Hypothetical protein		
Function unknown	VOG27151	Hypothetical protein		
Function unknown	VOG27152	Hypothetical protein		
Function unknown	VOG27153	Hypothetical protein		
Function unknown	VOG27154	Hypothetical protein		
Function unknown	VOG27155	Putative peptidoglycan-binding domain-containing protein		
Function unknown	VOG27156	Hypothetical protein		
Function unknown	VOG27157	Hypothetical protein		
Function unknown	VOG27158	Hypothetical protein		
Virus protein with function beneficial for the host	VOG27159	Ice nucleation protein InaU		ICEN_PANAN
Function unknown	VOG27160	Hypothetical protein		
Function unknown	VOG27161	Hypothetical protein		
Function unknown	VOG27162	Hypothetical protein		
Function unknown	VOG27163	Hypothetical protein		
Function unknown	VOG27164	Hypothetical protein		
Function unknown	VOG27165	Hypothetical protein		
Function unknown	VOG27166	Protein ORF111		
Function unknown	VOG27167	Hypothetical protein		
Function unknown	VOG27168	Hypothetical protein		
Function unknown	VOG27169	Hypothetical protein		
Function unknown	VOG27170	Hypothetical protein		
Function unknown	VOG27171	Hypothetical protein		
Function unknown	VOG27172	Hypothetical protein		
Function unknown	VOG27173	Hypothetical protein		
Function unknown	VOG27174	Hypothetical protein		
Function unknown	VOG27175	Hypothetical protein		
Function unknown	VOG27176	Hypothetical protein		
Function unknown	VOG27177	Hypothetical protein		
Function unknown	VOG27178	Hypothetical protein		
Function unknown	VOG27179	Hypothetical protein		
Function unknown	VOG27180	Hypothetical protein		
Function unknown	VOG27181	Hypothetical protein		
Function unknown	VOG27182	Hypothetical protein		
Function unknown	VOG27183	Hypothetical protein		
Function unknown	VOG27184	Hypothetical protein		
Function unknown	VOG27185	Alternative large T antigen		
Function unknown	VOG27186	Hypothetical protein		
Function unknown	VOG27187	Hypothetical protein		
Function unknown	VOG27188	Hypothetical protein		
Function unknown	VOG27189	Membrane protein		
Function unknown	VOG27190	Hypothetical protein		
Function unknown	VOG27191	Hypothetical protein		
Function unknown	VOG27192	Hypothetical protein		
Function unknown	VOG27193	Hypothetical protein		
Function unknown	VOG27194	Hypothetical protein		
Function unknown	VOG27195	Hypothetical protein		
Function unknown	VOG27196	Hypothetical protein		
Function unknown	VOG27197	Hypothetical protein		
Function unknown	VOG27198	Hypothetical protein		
Function unknown	VOG27199	Hypothetical protein		
Function unknown	VOG27200	Hypothetical protein		
Function unknown	VOG27201	Hypothetical protein		
Function unknown	VOG27202	Hypothetical protein		
Function unknown	VOG27203	Uncharacterized protein R409		YR409_MIMIV
Function unknown	VOG27204	Hypothetical protein		
Function unknown	VOG27205	A type inclusion protein		
