L1	KO	Function	EC
Function unknown	VOG26450	REFSEQ hypothetical protein	
Function unknown	VOG26451	REFSEQ hypothetical protein	
Function unknown	VOG26452	REFSEQ hypothetical protein	
Function unknown	VOG26453	REFSEQ hypothetical protein	
Function unknown	VOG26454	sp|Q25BG0|Y035_HIS1I Uncharacterized protein ORF35	
Function unknown	VOG26455	REFSEQ hypothetical protein	
Function unknown	VOG26456	REFSEQ hypothetical protein	
Function unknown	VOG26457	REFSEQ prohead protease	
Function unknown	VOG26458	REFSEQ portal protein	
Function unknown	VOG26459	REFSEQ hypothetical protein	
Function unknown	VOG26460	REFSEQ endonuclease III	
Function unknown	VOG26461	REFSEQ tail length tape measure protein	
Function unknown	VOG26462	REFSEQ major capsid protein	
Function unknown	VOG26463	REFSEQ hypothetical protein	
Function unknown	VOG26464	REFSEQ hypothetical protein	
Function unknown	VOG26465	REFSEQ hypothetical protein	
Function unknown	VOG26466	REFSEQ DNA binding protein	
Function unknown	VOG26467	REFSEQ hypothetical protein	
Function unknown	VOG26468	REFSEQ hypothetical protein	
Function unknown	VOG26469	REFSEQ hypothetical protein	
Function unknown	VOG26470	REFSEQ hypothetical protein	
Function unknown	VOG26471	REFSEQ hypothetical protein	
Function unknown	VOG26472	REFSEQ hypothetical protein	
Function unknown	VOG26473	REFSEQ hypothetical protein	
Function unknown	VOG26474	REFSEQ hypothetical protein	
Function unknown	VOG26475	REFSEQ hypothetical protein	
Function unknown	VOG26476	REFSEQ MazF-like growth inhibitor	
Function unknown	VOG26477	REFSEQ hypothetical protein	
Function unknown	VOG26478	REFSEQ hypothetical protein	
Function unknown	VOG26479	REFSEQ hypothetical protein	
Function unknown	VOG26480	REFSEQ hypothetical protein	
Function unknown	VOG26481	REFSEQ hypothetical protein	
Function unknown	VOG26482	REFSEQ hypothetical protein	
Function unknown	VOG26483	REFSEQ hypothetical protein	
Function unknown	VOG26484	REFSEQ hypothetical protein	
Function unknown	VOG26485	REFSEQ hypothetical protein	
Function unknown	VOG26486	REFSEQ hypothetical protein	
Function unknown	VOG26487	REFSEQ hypothetical protein	
Function unknown	VOG26488	REFSEQ hypothetical protein	
Function unknown	VOG26489	REFSEQ hypothetical protein	
Function unknown	VOG26490	REFSEQ hypothetical protein	
Function unknown	VOG26491	REFSEQ gp20, hypothetical protein	
Function unknown	VOG26492	REFSEQ gp22, hypothetical protein	
Function unknown	VOG26493	REFSEQ gp21, hypothetical protein	
Function unknown	VOG26494	REFSEQ gp19, hypothetical protein	
Function unknown	VOG26495	REFSEQ toxin	
Function unknown	VOG26496	REFSEQ hypothetical protein	
Function unknown	VOG26497	REFSEQ gp25, conserved hypothetical protein	
Function unknown	VOG26498	REFSEQ hypothetical protein	
Function unknown	VOG26499	REFSEQ hypothetical protein	
Function unknown	VOG26500	REFSEQ hypothetical protein	
Function unknown	VOG26501	REFSEQ endolysin	
Function unknown	VOG26502	REFSEQ hypothetical protein	
Function unknown	VOG26503	REFSEQ hypothetical protein	
Function unknown	VOG26504	REFSEQ hypothetical protein	
Function unknown	VOG26505	REFSEQ hypothetical protein	
Function unknown	VOG26506	REFSEQ integrase	
Function unknown	VOG26507	REFSEQ hypothetical protein	
Function unknown	VOG26508	REFSEQ hypothetical protein	
Function unknown	VOG26509	REFSEQ hypothetical protein	
Function unknown	VOG26510	REFSEQ hypothetical protein	
Function unknown	VOG26511	REFSEQ hypothetical protein	
Function unknown	VOG26512	REFSEQ hypothetical protein	
Function unknown	VOG26513	REFSEQ hypothetical protein	
Function unknown	VOG26514	REFSEQ hypothetical protein	
Function unknown	VOG26515	REFSEQ IS1182-like element ISSau3 family transposase	
Function unknown	VOG26516	REFSEQ hypothetical protein	
Function unknown	VOG26517	REFSEQ cycloalternan hydrolase / pectin lyase	
Function unknown	VOG26518	REFSEQ hypothetical protein	
Function unknown	VOG26519	REFSEQ hypothetical protein	
Function unknown	VOG26520	REFSEQ hypothetical protein	
Virus protein with function beneficial for the host	VOG26521	sp|C1IBY4|KUN1_TABYA Tabkunin 1	
Function unknown	VOG26522	REFSEQ putative caspase-2	
Function unknown	VOG26523	REFSEQ similar to CG3838 gene product	
Function unknown	VOG26524	sp|Q196Y3|077R_IIV3 Uncharacterized protein 077R	
Function unknown	VOG26525	REFSEQ hypothetical protein	
Function unknown	VOG26526	REFSEQ hypothetical protein	
Function unknown	VOG26527	REFSEQ hypothetical protein	
Function unknown	VOG26528	REFSEQ hypothetical protein	
Function unknown	VOG26529	REFSEQ hypothetical protein	
Function unknown	VOG26530	REFSEQ hypothetical protein	
Function unknown	VOG26531	REFSEQ hypothetical protein	
Function unknown	VOG26532	REFSEQ hypothetical protein	
Function unknown	VOG26533	REFSEQ hypothetical protein	
Function unknown	VOG26534	REFSEQ hypothetical protein	
Function unknown	VOG26535	REFSEQ hypothetical protein	
Function unknown	VOG26536	REFSEQ hypothetical protein	
Function unknown	VOG26537	REFSEQ hypothetical protein	
Function unknown	VOG26538	REFSEQ hypothetical protein	
Function unknown	VOG26539	REFSEQ hypothetical protein	
Function unknown	VOG26540	REFSEQ hypothetical protein	
Function unknown	VOG26541	REFSEQ DNA topoisomerase	
Function unknown	VOG26542	REFSEQ hypothetical protein	
Function unknown	VOG26543	REFSEQ hypothetical protein	
Function unknown	VOG26544	REFSEQ hypothetical protein	
Function unknown	VOG26545	REFSEQ hypothetical protein	
Function unknown	VOG26546	REFSEQ hypothetical protein	
Function unknown	VOG26547	REFSEQ hypothetical protein	
Function unknown	VOG26548	REFSEQ hypothetical protein	
Function unknown	VOG26549	REFSEQ hypothetical protein	
Function unknown	VOG26550	REFSEQ hypothetical protein	
Function unknown	VOG26551	REFSEQ hypothetical protein	
Function unknown	VOG26552	REFSEQ hypothetical protein	
Function unknown	VOG26553	REFSEQ hypothetical protein	
Function unknown	VOG26554	REFSEQ hypothetical protein	
Function unknown	VOG26555	REFSEQ hypothetical protein	
Function unknown	VOG26556	REFSEQ hypothetical protein	
Function unknown	VOG26557	REFSEQ hypothetical protein	
Function unknown	VOG26558	REFSEQ hypothetical protein	
Function unknown	VOG26559	REFSEQ hypothetical protein	
Function unknown	VOG26560	REFSEQ hypothetical protein	
Function unknown	VOG26561	REFSEQ hypothetical protein	
Function unknown	VOG26562	REFSEQ hypothetical protein	
Function unknown	VOG26563	REFSEQ hypothetical protein	
Function unknown	VOG26564	REFSEQ hypothetical protein	
Function unknown	VOG26565	REFSEQ hypothetical protein	
Function unknown	VOG26566	REFSEQ tail fiber protein	
Function unknown	VOG26567	REFSEQ hypothetical protein	
Function unknown	VOG26568	REFSEQ hypothetical protein	
Function unknown	VOG26569	REFSEQ hypothetical protein	
Function unknown	VOG26570	REFSEQ hypothetical protein	
Function unknown	VOG26571	REFSEQ hypothetical protein	
Function unknown	VOG26572	REFSEQ E4 34K	
Function unknown	VOG26573	REFSEQ E4 ORFF	
Function unknown	VOG26574	REFSEQ E4 ORFC	
Function unknown	VOG26575	REFSEQ hypothetical protein	
Function unknown	VOG26576	REFSEQ hypothetical protein	
Function unknown	VOG26577	REFSEQ hypothetical protein	
Function unknown	VOG26578	REFSEQ hypothetical protein	
Function unknown	VOG26579	REFSEQ hypothetical protein	
Function unknown	VOG26580	sp|P32286|SEGA_BPT4 Endonuclease segA	
Function unknown	VOG26581	REFSEQ hypothetical protein	
Function unknown	VOG26582	sp|Q91FF6|368R_IIV6 Uncharacterized protein 368R	
Function unknown	VOG26583	REFSEQ hypothetical protein	
Function unknown	VOG26584	REFSEQ hypothetical protein	
Function unknown	VOG26585	REFSEQ hypothetical protein	
Function unknown	VOG26586	REFSEQ hypothetical protein	
Function unknown	VOG26587	REFSEQ tail length tape measure protein	
Function unknown	VOG26588	REFSEQ Gp28 protein	
Function unknown	VOG26589	REFSEQ hypothetical protein	
Function unknown	VOG26590	REFSEQ hypothetical protein	
Function unknown	VOG26591	REFSEQ hypothetical protein	
Function unknown	VOG26592	REFSEQ tail assembly chaperone	
Function unknown	VOG26593	REFSEQ hypothetical protein	
Function unknown	VOG26594	REFSEQ hypothetical protein	
Function unknown	VOG26595	REFSEQ hypothetical protein	
Function unknown	VOG26596	REFSEQ hypothetical protein	
Function unknown	VOG26597	REFSEQ hypothetical protein	
Function unknown	VOG26598	REFSEQ HTH domain protein	
Function unknown	VOG26599	REFSEQ hypothetical protein	
Function unknown	VOG26600	REFSEQ hypothetical protein	
Function unknown	VOG26601	REFSEQ hypothetical protein	
Function unknown	VOG26602	REFSEQ hypothetical protein	
Function unknown	VOG26603	REFSEQ hypothetical protein	
Function unknown	VOG26604	REFSEQ hypothetical protein	
Function unknown	VOG26605	REFSEQ hypothetical protein	
Function unknown	VOG26606	REFSEQ matrix protein	
Function unknown	VOG26607	REFSEQ hypothetical protein	
Function unknown	VOG26608	REFSEQ hypothetical protein	
Function unknown	VOG26609	REFSEQ hypothetical protein	
Function unknown	VOG26610	REFSEQ hypothetical protein	
Function unknown	VOG26611	REFSEQ hypothetical protein	
Function unknown	VOG26612	REFSEQ lipoprotein	
Function unknown	VOG26613	REFSEQ hypothetical protein	
Function unknown	VOG26614	REFSEQ hypothetical protein	
Function unknown	VOG26615	REFSEQ hypothetical protein	
Function unknown	VOG26616	REFSEQ hypothetical protein	
Function unknown	VOG26617	REFSEQ hypothetical protein	
Function unknown	VOG26618	REFSEQ hypothetical protein	
Function unknown	VOG26619	REFSEQ hypothetical protein	
Function unknown	VOG26620	REFSEQ hypothetical protein	
Function unknown	VOG26621	REFSEQ hypothetical protein	
Function unknown	VOG26622	REFSEQ hypothetical protein	
Function unknown	VOG26623	REFSEQ hypothetical protein	
Function unknown	VOG26624	REFSEQ hypothetical protein	
Function unknown	VOG26625	REFSEQ hypothetical protein	
Function unknown	VOG26626	REFSEQ hypothetical protein	
Function unknown	VOG26627	REFSEQ hypothetical protein	
Function unknown	VOG26628	REFSEQ hypothetical protein	
Function unknown	VOG26629	REFSEQ hypothetical protein	
Function unknown	VOG26630	REFSEQ 22L	
Function unknown	VOG26631	REFSEQ hypothetical protein	
Function unknown	VOG26632	REFSEQ hypothetical protein	
Function unknown	VOG26633	REFSEQ hypothetical protein	
Function unknown	VOG26634	REFSEQ hypothetical protein	
Function unknown	VOG26635	REFSEQ hypothetical protein	
Function unknown	VOG26636	REFSEQ hypothetical protein	
Function unknown	VOG26637	REFSEQ virion structural protein	
Function unknown	VOG26638	REFSEQ hypothetical protein	
Function unknown	VOG26639	REFSEQ hypothetical protein	
Function unknown	VOG26640	REFSEQ hypothetical protein	
Function unknown	VOG26641	REFSEQ hypothetical protein	
Function unknown	VOG26642	REFSEQ hypothetical protein	
Function unknown	VOG26643	REFSEQ hypothetical protein	
Function unknown	VOG26644	REFSEQ hypothetical protein	
Function unknown	VOG26645	REFSEQ hypothetical protein	
Function unknown	VOG26646	REFSEQ hypothetical protein	
Function unknown	VOG26647	REFSEQ hypothetical protein	
Function unknown	VOG26648	REFSEQ hypothetical protein	
Function unknown	VOG26649	REFSEQ hypothetical protein	
Function unknown	VOG26650	REFSEQ hypothetical protein	
Function unknown	VOG26651	REFSEQ minor tail protein	
Function unknown	VOG26652	REFSEQ hypothetical protein	
Function unknown	VOG26653	REFSEQ hypothetical protein	
Function unknown	VOG26654	REFSEQ hypothetical protein	
Function unknown	VOG26655	REFSEQ hypothetical protein	
Function unknown	VOG26656	REFSEQ hypothetical protein	
Function unknown	VOG26657	REFSEQ hypothetical protein	
Function unknown	VOG26658	REFSEQ hypothetical protein	
Function unknown	VOG26659	REFSEQ hypothetical protein	
Function unknown	VOG26660	REFSEQ hypothetical protein	
Function unknown	VOG26661	REFSEQ hypothetical protein	
Function unknown	VOG26662	REFSEQ hypothetical protein	
Function unknown	VOG26663	REFSEQ hypothetical protein	
Function unknown	VOG26664	REFSEQ hypothetical protein	
Function unknown	VOG26665	REFSEQ hypothetical protein	
Function unknown	VOG26666	REFSEQ hypothetical protein	
Function unknown	VOG26667	REFSEQ hypothetical protein	
Function unknown	VOG26668	REFSEQ hypothetical protein	
Function unknown	VOG26669	REFSEQ hypothetical protein	
Function unknown	VOG26670	REFSEQ hypothetical protein	
Function unknown	VOG26671	REFSEQ hypothetical protein	
Function unknown	VOG26672	REFSEQ hypothetical protein	
Function unknown	VOG26673	REFSEQ hypothetical protein	
Function unknown	VOG26674	REFSEQ hypothetical protein	
Function unknown	VOG26675	REFSEQ hypothetical protein	
Function unknown	VOG26676	REFSEQ hypothetical protein	
Function unknown	VOG26677	REFSEQ hypothetical protein	
Function unknown	VOG26678	REFSEQ hypothetical protein	
Function unknown	VOG26679	REFSEQ hypothetical protein	
Function unknown	VOG26680	REFSEQ hypothetical protein	
Function unknown	VOG26681	REFSEQ hypothetical protein	
Function unknown	VOG26682	REFSEQ hypothetical protein	
Function unknown	VOG26683	REFSEQ hypothetical protein	
Function unknown	VOG26684	REFSEQ hypothetical protein	
Function unknown	VOG26685	REFSEQ hypothetical protein	
Function unknown	VOG26686	REFSEQ hypothetical protein	
Function unknown	VOG26687	REFSEQ hypothetical protein	
Function unknown	VOG26688	REFSEQ hypothetical protein	
Function unknown	VOG26689	REFSEQ hypothetical protein	
Function unknown	VOG26690	REFSEQ hypothetical protein	
Function unknown	VOG26691	REFSEQ hypothetical protein	
Function unknown	VOG26692	REFSEQ hypothetical protein	
Function unknown	VOG26693	REFSEQ hypothetical protein	
Function unknown	VOG26694	REFSEQ hypothetical protein	
Function unknown	VOG26695	REFSEQ hypothetical protein	
Function unknown	VOG26696	REFSEQ hypothetical protein	
Function unknown	VOG26697	REFSEQ hypothetical protein	
Function unknown	VOG26698	REFSEQ hypothetical protein	
Function unknown	VOG26699	REFSEQ hypothetical protein	
Function unknown	VOG26700	REFSEQ hypothetical protein	
Function unknown	VOG26701	REFSEQ hypothetical protein	
Function unknown	VOG26702	REFSEQ hypothetical protein	
Function unknown	VOG26703	REFSEQ hypothetical protein	
Function unknown	VOG26704	REFSEQ hypothetical protein	
Function unknown	VOG26705	REFSEQ hypothetical protein	
Function unknown	VOG26706	REFSEQ hypothetical protein	
Function unknown	VOG26707	REFSEQ hypothetical protein	
Function unknown	VOG26708	REFSEQ hypothetical protein	
Function unknown	VOG26709	REFSEQ hypothetical protein	
Function unknown	VOG26710	REFSEQ hypothetical protein	
Function unknown	VOG26711	REFSEQ hypothetical protein	
Function unknown	VOG26712	REFSEQ hypothetical protein	
Function unknown	VOG26713	REFSEQ hypothetical protein	
Function unknown	VOG26714	REFSEQ hypothetical protein	
Function unknown	VOG26715	REFSEQ hypothetical protein	
Function unknown	VOG26716	REFSEQ hypothetical protein	
Function unknown	VOG26717	REFSEQ hypothetical protein	
Function unknown	VOG26718	REFSEQ hypothetical protein	
Function unknown	VOG26719	REFSEQ hypothetical protein	
Function unknown	VOG26720	REFSEQ hypothetical protein	
Function unknown	VOG26721	REFSEQ hypothetical protein	
Function unknown	VOG26722	REFSEQ hypothetical protein	
Function unknown	VOG26723	REFSEQ hypothetical protein	
Function unknown	VOG26724	REFSEQ hypothetical protein	
Function unknown	VOG26725	REFSEQ hypothetical protein	
Function unknown	VOG26726	REFSEQ hypothetical protein	
Function unknown	VOG26727	REFSEQ hypothetical protein	
Function unknown	VOG26728	REFSEQ hypothetical protein	
Function unknown	VOG26729	REFSEQ hypothetical protein	
Function unknown	VOG26730	REFSEQ structural protein	
Function unknown	VOG26731	REFSEQ hypothetical protein	
Function unknown	VOG26732	REFSEQ hypothetical protein	
Function unknown	VOG26733	REFSEQ hypothetical protein	
Function unknown	VOG26734	REFSEQ hypothetical protein	
Function unknown	VOG26735	REFSEQ hypothetical protein	
Function unknown	VOG26736	REFSEQ hypothetical protein	
Function unknown	VOG26737	REFSEQ DNA methyltransferase	
Function unknown	VOG26738	REFSEQ hypothetical protein	
Function unknown	VOG26739	REFSEQ hypothetical protein	
Function unknown	VOG26740	REFSEQ hypothetical protein	
Function unknown	VOG26741	REFSEQ hypothetical protein	
Function unknown	VOG26742	REFSEQ hypothetical protein	
Function unknown	VOG26743	REFSEQ hypothetical protein	
Function unknown	VOG26744	REFSEQ hypothetical protein	
Function unknown	VOG26745	REFSEQ hypothetical protein	
Function unknown	VOG26746	REFSEQ hypothetical protein	
Function unknown	VOG26747	REFSEQ hypothetical protein	
Function unknown	VOG26748	REFSEQ hypothetical protein	
Function unknown	VOG26749	REFSEQ hypothetical protein	
Function unknown	VOG26750	REFSEQ hypothetical protein	
Function unknown	VOG26751	REFSEQ hypothetical protein	
Function unknown	VOG26752	REFSEQ hypothetical protein	
Function unknown	VOG26753	REFSEQ uracil-DNA glycosylase	
Function unknown	VOG26754	REFSEQ hypothetical protein	
Function unknown	VOG26755	REFSEQ hypothetical protein	
Function unknown	VOG26756	REFSEQ hypothetical protein	
Function unknown	VOG26757	REFSEQ hypothetical protein	
Function unknown	VOG26758	REFSEQ hypothetical protein	
Function unknown	VOG26759	REFSEQ hypothetical protein	
Function unknown	VOG26760	REFSEQ virion structural protein	
Function unknown	VOG26761	REFSEQ hypothetical protein	
Function unknown	VOG26762	REFSEQ virion structural protein	
Function unknown	VOG26763	REFSEQ virion structural protein	
